stable_usage_key,choice_priority,territory,kind,celebration_id,mass_form,season,week,weekday,special_day,sunday_cycle,weekday_cycle,lectionary_number,reference_normalized,response_text,source_catalog,nigeria_selection_id,nigeria_source_date,gallery_source_url,gallery_text_edition,rsvce_selection_id,text_source_id,display_edition,resolution_status,review_notes
NG|temporal|ordinary-time|30|saturday||II,1,NG,temporal,,,ordinary-time,30,saturday,,,II,,"ps42:2,3,5","My soul is thirsting for you, the living God.",nigeria_psalm_usage_assignments.csv,ng:2026-10-31:responsorial-psalm:1,2026-10-31,,,ps42_2_3_5,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|temporal|ordinary-time|30|saturday||II,2,NG,temporal,,,ordinary-time,30,saturday,,,II,484,"ps42:1-2,3-4b,4cd,5",My soul is thirsting for the living God.,standard_lectionary_complete.csv,,,,,ps42_1_2_3_4b_4cd_5,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|30|sunday|A|,1,NG,temporal,,,ordinary-time,30,sunday,,A,,,"ps18:2-3a,3bc-4,47,51ab","I love you, Lord, my strength.",nigeria_psalm_usage_assignments.csv,ng:2026-10-25:responsorial-psalm:1,2026-10-25,,,ps18_2_3a_3bc_4_47_51ab,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|temporal|ordinary-time|30|sunday|A|,2,NG,temporal,,,ordinary-time,30,sunday,,A,,,"ps18:2-3,3-4,47,51","I love you, Lord, my strength.",standard_lectionary_complete.csv,,,,,ps18_2_3_3_4_47_51,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|30|sunday|B|,1,NG,temporal,,,ordinary-time,30,sunday,,B,,,"ps126:1-2,2-3,4-5,6","What great deeds the Lord worked for us! Indeed, we were glad.",nigeria_2024_2025_usage_assignments.csv,,,https://www.catholicgallery.org/mass-reading/271024/,Douay-Rheims,ps126_1_2_2_3_4_5_6,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|30|sunday|B|,2,NG,temporal,,,ordinary-time,30,sunday,,B,,,"ps126:1-2,2-3,4-5,6",The Lord has done great things for us; we are filled with joy.,standard_lectionary_complete.csv,,,https://www.catholicgallery.org/mass-reading/271024/,Douay-Rheims,ps126_1_2_2_3_4_5_6,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|30|sunday|C|,1,NG,temporal,,,ordinary-time,30,sunday,,C,,,"ps34:2-3,17-18,19,23","The lowly one called, and the Lord heard him",nigeria_2024_2025_usage_assignments.csv,,,https://www.catholicgallery.org/mass-reading/261025/,Douay-Rheims,ps34_2_3_17_18_19_23,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|30|sunday|C|,2,NG,temporal,,,ordinary-time,30,sunday,,C,,,"ps34:2-3,17-18,19,23",The Lord hears the cry of the poor.,standard_lectionary_complete.csv,,,https://www.catholicgallery.org/mass-reading/261025/,Douay-Rheims,ps34_2_3_17_18_19_23,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|30|thursday||I,1,NG,temporal,,,ordinary-time,30,thursday,,,I,,"ps109:21-22,26-27,30-31","Save me, Lord, with your merciful love.",nigeria_2024_2025_usage_assignments.csv,,,https://www.catholicgallery.org/mass-reading/301025/,Douay-Rheims,ps109_21_22_26_27_30_31,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|30|thursday||I,2,NG,temporal,,,ordinary-time,30,thursday,,,I,482,"ps109:21-22,26-27,30-31","Save me, O Lord, in your kindness.",standard_lectionary_complete.csv,,,https://www.catholicgallery.org/mass-reading/301025/,Douay-Rheims,ps109_21_22_26_27_30_31,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|30|thursday||II,1,NG,temporal,,,ordinary-time,30,thursday,,,II,,"ps144:1,2,9-10","Blest be the Lord, my rock.",nigeria_psalm_usage_assignments.csv,ng:2026-01-21:responsorial-psalm:1,2026-01-21,,,ps144_1_2_9_10__alias_cb8a6f2c6057,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|temporal|ordinary-time|30|thursday||II,2,NG,temporal,,,ordinary-time,30,thursday,,,II,,"ps144:1b,2,9-10","Blest be the Lord, my rock.",nigeria_2024_2025_usage_assignments.csv,,,https://www.catholicgallery.org/mass-reading/311024/,Douay-Rheims,local_rsvce:expanded:760493e22104906e,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|30|thursday||II,3,NG,temporal,,,ordinary-time,30,thursday,,,II,482,"ps144:1,2,9-10","Blessed be the Lord, my Rock!",standard_lectionary_complete.csv,ng:reconstructed:0aba0b5afff3f6d3,,,,ps144_1_2_9_10__alias_cb8a6f2c6057,nigeria_365_firestore,Catholic Missal for Nigeria,reconstructed_nigeria,Reconstructed only from exact verified Nigerian stanza fragments.
NG|temporal|ordinary-time|30|tuesday||I,1,NG,temporal,,,ordinary-time,30,tuesday,,,I,480,"ps126:1-2ab,2cd-3,4-5,6",The Lord has done great things for us.,standard_lectionary_complete.csv,ng:reconstructed:001b0aae199b9348,,,,ps126_1_2ab_2cd_3_4_5_6,nigeria_365_firestore,Catholic Missal for Nigeria,reconstructed_nigeria,Reconstructed only from exact verified Nigerian stanza fragments.
NG|temporal|ordinary-time|30|tuesday||II,1,NG,temporal,,,ordinary-time,30,tuesday,,,II,,"ps128:1-2,3,4,5",Blessed are all who fear the Lord,nigeria_psalm_usage_assignments.csv,ng:2026-10-27:responsorial-psalm:1,2026-10-27,,,ps128_1_2_3_4_5__alias_aa8813666547,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|temporal|ordinary-time|30|tuesday||II,2,NG,temporal,,,ordinary-time,30,tuesday,,,II,,"ps128:1-2,3,4-5",Blessed are all who fear the Lord.,nigeria_2024_2025_usage_assignments.csv,ng:2026-11-15:responsorial-psalm:1,2026-11-15,https://www.catholicgallery.org/mass-reading/291024/,Douay-Rheims,ps128_1_2_3_4_5,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|temporal|ordinary-time|30|tuesday||II,3,NG,temporal,,,ordinary-time,30,tuesday,,,II,480,"ps128:1-2,3,4-5",Happy are those who fear the Lord.,standard_lectionary_complete.csv,ng:reconstructed:56f2f22bd29b5920,,https://www.catholicgallery.org/mass-reading/291024/,Douay-Rheims,ps128_1_2_3_4_5,nigeria_365_firestore,Catholic Missal for Nigeria,reconstructed_nigeria,Reconstructed only from exact verified Nigerian stanza fragments.
