source,day_label,type,reference,problems,db_first_verse,csv_incipit,index_source_file,index_raw_header_ref,candidate_first_line,candidate_source,quality_notes
standard,Lent/2/Sunday/C,first_reading,"Gen 15:5-12, 17-18",pronoun_after_incipit:he,"And he brought him outside and said, ""Look toward heaven, and number the stars, if you are able to number them."" Then he said to him, ""So shall your descendants be.""",,,,,,no index match
standard,Lent/3/Sunday/A,gospel,John 4:5-42,pronoun_after_incipit:he,"So he came to a city of Samaria, called Sychar, near the field that Jacob gave to his son Joseph.",,,,,,no index match
standard,Lent/4/Wednesday/I/II,first_reading,Isa 49:8-15,raw_verse_conjunction:thus; verse_number_in_rendered,"Thus says the LORD: ""In a time of favor I have answered you, in a day of salvation I have helped you; I have kept you and given you as a covenant to the people, to establish the land, to apportion the desolate heritages;",,,,,,no index match
standard,Lent/4/Wednesday/I/II,gospel,John 5:16-30,pronoun_after_incipit:this,"And this was why the Jews persecuted Jesus, because he did this on the sabbath.",,weekday_a,John 5.16-30,Jesus healed a man who was paralyzed on the Sabbath.,weekday_a,from weekday_a
standard,Lent/5/Sunday/A,first_reading,Ez 37:12-14,raw_verse_conjunction:therefore; verse_number_in_rendered; no_incipit_problematic_verse:therefore,"Therefore prophesy, and say to them, Thus says the Lord GOD: Behold, I will open your graves, and raise you from your graves, O my people; and I will bring you home into the land of Israel.",,sunday,Ez 37:12-14,"GOSPEL (Jn 11:1-45 or 11:3-7, 17, 20-27, 33b-45) THUS says the Lord GOD:",sunday,from sunday
standard,Lent/5/Sunday/C,first_reading,Isa 43:16-21,raw_verse_conjunction:thus; verse_number_in_rendered,"Thus says the LORD, who makes a way in the sea, a path in the mighty waters,",,,,,,no index match
standard,Holy Week//Palm Sunday/A/B/C,gospel,Mark 14:1-15:47,pronoun_after_incipit:it,"It was now two days before the Passover and the feast of Unleavened Bread. And the chief priests and the scribes were seeking how to arrest him by stealth, and kill him;",,,,,,no index match
standard,Easter/2/Sunday/A,first_reading,Acts 2:42-47,pronoun_after_incipit:they,"And they devoted themselves to the apostles' teaching and fellowship, to the breaking of bread and the prayers.",,sunday,Acts 2:42-47,"you rejoice with an indescribable and glorious joy, THEY devoted themselves as you attain the goal of your faith, the salvation of your souls.",sunday,from sunday
standard,Easter/2/Monday/I/II,first_reading,Acts 4:23-31,raw_verse_lowercase; verse_number_in_rendered,When they were released they went to their friends and reported what the chief priests and the elders had said to them.,"where Christ is seated at the right hand of God.,267,In those days: After Peter and John were released by the rulers and elders",weekday_a,Acts 4.23-31,"After Peter and John were released by the rulers and elders,",weekday_a,from weekday_a
standard,Easter/2/Thursday/I/II,first_reading,Acts 5:27-33,raw_verse_lowercase; verse_number_in_rendered,"And when they had brought them, they set them before the council. And the high priest questioned them,",because you have seen me; happy those who have not seen me,weekday_a,Acts 5.27-33,When the temple police had brought the apostles,weekday_a,from weekday_a
standard,Easter/3/Sunday/A,gospel,Luke 24:13-35,raw_verse_pronoun:that; verse_number_in_rendered,"That very day two of them were going to a village named Emmaus, about seven miles  from Jerusalem,",,weekday_a,Luke 24.13-35,"On the first day of the week,",weekday_a,from weekday_a
standard,Easter/3/Sunday/B,gospel,Luke 24:35-48,pronoun_after_incipit:they,"Then they told what had happened on the road, and how he was known to them in the breaking of the bread.",,weekday_a,Luke 24.35-48,The two disciples told the eleven and their companions,weekday_a,from weekday_a
standard,Easter/4/Sunday/C,first_reading,"Acts 13:14, 43-52",pronoun_after_incipit:they,but they passed on from Perga and came to Antioch of Pisidia. And on the sabbath day they went into the synagogue and sat down.,,sunday,"Acts 13:14, 43-52","""These are the ones who have survived the time of great distress; PAUL and Barnabas continued on from Perga they have washed their robes and reached Antiochin Pisidia. and made them white in the blood of the Lamb.",sunday,from sunday
standard,Easter/4/Tuesday/I/II,gospel,John 10:22-30,pronoun_after_incipit:it,It was the feast of the Dedication at Jerusalem;,,weekday_a,John 10.22-30,At that time the festival of the Dedication took place in Jerusalem.,weekday_a,from weekday_a
standard,Easter/4/Friday/I/II,gospel,John 14:1-6,raw_verse_lowercase,"""Let not your hearts be troubled; believe  in God, believe also in me.",says the Lord; no one comes to the Father,weekday_a,John 14.1-6,Jesus knew that his hour had come to depart from this world and go to the Father.,weekday_a,from weekday_a
standard,Easter/4/Saturday/I/II,gospel,John 14:7-14,raw_verse_lowercase; verse_number_in_rendered,"If you had known me, you would have known my Father also; henceforth you know him and have seen him.""","says the Lord.,284,In those days: 44. The next sabbath,At that time: “If you know me",weekday_a,John 14.7-14,Jesus knew that his hour had come to depart from this world and go to the Father.,weekday_a,from weekday_a
standard,Easter/5/Sunday/A,first_reading,Acts 6:1-7,raw_verse_lowercase,"Now in these days when the disciples were increasing in number, the Hellenists murmured against the Hebrews because their widows were neglected in the daily distribution.","says the Lord; no one can come to the Father except through me.,,,",weekday_a,Acts 6.1-7,"Now during those days, when the disciples were increasing in number,",weekday_a,from weekday_a
standard,Easter/5/Saturday/I/II,first_reading,Acts 16:1-10,raw_verse_lowercase,"And he came also to Derbe and to Lystra. A disciple was there, named Timothy, the son of a Jewish woman who was a believer; but his father was a Greek.","where Christ is seated at the right hand of God.,290,In those days: Went on to Derbe and to Lystra",weekday_a,Acts 16.1-10,"Paul left Antioch, taking with him Silas,",weekday_a,from weekday_a
standard,Easter/7/Sunday/A,first_reading,Acts 1:12-14,pronoun_after_incipit:they,"Then they returned to Jerusalem from the mount called Olivet, which is near Jerusalem, a sabbath day's journey away;",,sunday,Acts 1:12-14,GOSPEL (Jn 17:1-11a) AFTER Jesus had been taken up to heaven the apostles returned to Jerusalem + A reading from the holy Gospel according to John:,sunday,from sunday
standard,Easter/7/Sunday/B,gospel,John 17:11b-19,pronoun_after_incipit:they,"And now I am no more in the world, but they are in the world, and I am coming to thee. Holy Father, keep them in thy name, which thou hast given me, that they may be one, even as we are one.",,weekday_a,John 17.11b-19,"When the hour had come for him to pass from this world to the Father, Jesus looked up to heaven and said,",weekday_a,from weekday_a
memorial,The Exaltation of the Holy Cross,gospel,Phil 2:6-11,raw_verse_pronoun:who; raw_verse_lowercase; verse_number_in_rendered,"who, though he was in the form of God, did not count equality with God a thing to be grasped,",,,,,,no index match
