normalized_ref,source_file,reading_type,raw_ref,candidate_line,method,confidence,page
1 corinthians 3:16-23,sunday,second_reading,1 Cor 3:16-23,"Do you not know that you are the temple of God, and that the Spirit of God dwells in you?",sunday_column_left,100,147
1 corinthians 3:18-23,weekday_b,first_reading,1 Corinthians 3.18-23,"Brothers and sisters, do not deceive yourselves.",weekday_direct,100,671
"1 corinthians 3:9c-11, 16-17",sunday,second_reading,"1 Cor 3:9c-11, 16-17","You are God's building. According to the grace of God given to me,",sunday_column_left,100,267
1 corinthians 4:1-5,weekday_b,first_reading,1 Corinthians 4.1-5,"Brothers and sisters,",weekday_direct,100,673
1 corinthians 4:1-5,sunday,second_reading,1 Cor 4:1-5,Thus should one regard us: as servants of Christ and stewards of the mysteries of God.,sunday_column_left,100,150
1 corinthians 4:6-15,weekday_b,first_reading,1 Corinthians 4.6-15,"Think of us as servants of Christ and stewards of God's mysteries. I have applied this to Apollos and myself for your benefit,",weekday_direct,100,675
1 corinthians 5:1-8,weekday_b,first_reading,1 Corinthians 5.1-8,"It is actually reported that there is sexual immorality among you,",weekday_direct,100,677
1 corinthians 6:1-11,weekday_b,first_reading,1 Corinthians 6.1-11,"Brothers and sisters, when any of you has a grievance against another,",weekday_direct,100,679
"1 corinthians 6:13c-15a, 17-20",sunday,second_reading,"1 Cor 6:13c-15a, 17-20","The body is not for immorality, but for the Lord, and the Lord is for the body;",sunday_column_left,100,133
"1 corinthians 7:1, 17, 25-31",weekday_b,first_reading,"1 Corinthians 7.1, 17, 25-31++",Now concerning the matters about which you wrote:,weekday_direct,100,681
1 corinthians 7:29-31,sunday,second_reading,1 Cor 7:29-31,"I TELL you, brothers and sisters, the time is running out. From now on, let those having wives act as not having them,",sunday_column_left,100,136
1 corinthians 7:32-35,sunday,second_reading,1 Cor 7:32-35,"I should like you to be free of anxieties. An unmarried man is anxious about the things of the Lord,",sunday_column_left,100,139
"1 corinthians 8:1b-7, 11-13",weekday_b,first_reading,"1 Corinthians 8.1b-7, 11-13","Brothers and sisters, knowledge puffs up, but love builds up.",weekday_direct,100,683
"1 corinthians 9:16-19, 22-23",sunday,second_reading,"1 Cor 9:16-19, 22-23","If I preach the gospel, this is no reason for me to boast, for an obligation has been imposed on me,",sunday_column_left,100,142
"1 corinthians 9:16-19, 22b-27",weekday_b,first_reading,"1 Corinthians 9.16-19, 22b-27","If I proclaim the gospel, this gives me no ground for boasting,",weekday_direct,100,686
1 john 1:1-4,weekday_a,first_reading,1 John 1.1-4,"Beloved: We declare to you what was from the beginning,",weekday_direct,100,70
1 john 1:1-4,weekday_a,first_reading,1 John 1.1-4,"Beloved: We declare to you what was from the beginning,",weekday_direct,100,618
1 john 1:5 - 2.2,weekday_a,first_reading,1 John 1.5 - 2.2,Beloved: This is the message we have heard from Jesus Christ,weekday_direct,100,72
1 john 1:5 - 2.2,weekday_a,first_reading,1 John 1.5 - 2.2,Beloved: This is the message we have heard from Jesus Christ,weekday_direct,100,620
1 john 1:5 - 2.2,weekday_a,first_reading,1 John 1.5 - 2.2,Beloved: This is the message we have heard from Jesus Christ,weekday_direct,100,669
1 john 2:1-5a,sunday,second_reading,1 Jn 2:1-5a,"MY children, I am writing this to you so that you may not commit sin.",sunday_column_left,100,96
1 john 2:12-17,weekday_a,first_reading,1 John 2.12-17,"I am writing to you, little children,",weekday_direct,100,76
1 john 2:18-21,weekday_a,first_reading,1 John 2.18-21,"Children,",weekday_direct,100,78
1 john 2:18-25,weekday_a,first_reading,1 John 2.18-25,"Children,",weekday_direct,100,629
1 john 2:22-28,weekday_a,first_reading,1 John 2.22-28,"My little ones,",weekday_direct,100,81
1 john 2:29; 3.1-6,weekday_a,first_reading,1 John 2.29; 3.1-6,"Little children,",weekday_direct,100,83
1 john 2:3-11,weekday_a,first_reading,1 John 2.3-11,"My little children,",weekday_direct,100,74
