Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Ordinary Time,4,Thursday,II,,"Psalm 118.1-2, 16ab-17, 21+28 (R.1a)","Give thanks, for the Lord is good.",Matthew 11.28,"Come to me, all you that labour and are burdened, and I will give you rest, says the Lord.",446
Ordinary Time,4,Friday,II,,"Psalm 17.1, 6-7, 8b+15 (R.15b)","Lord, when your glory appears, my joy will be full.",See Matthew 11.25,"Blessed are you, Father, Lord of heaven and earth; you have revealed to little ones the mysteries of the kingdom.",447
Ordinary Time,4,Saturday,II,,"Psalm 56.3-4, 9b-11, 12-13 (R. see 13b)","I will walk in the presence of God, with the light of the living.",See Luke 8.15,Blessed are they who have kept the word with a generous heart and yield a harvest through perseverance.,448
Ordinary Time,4,Monday,II,,"Psalm 15.1b-3a, 3b-4a, 4b-5 (R.1b-2)","The just shall live on your holy mountain, O Lord.",Matthew 5.16,"Let your light shine before all, that they may see your good works and glorify your Father.",449
Ordinary Time,5,Tuesday,II,,"Psalm 119.1+27, 30+34, 35+44 (R.35a)","Guide me, Lord, in the way of your commands.",Luke 11.28,Blessed are they who hear the word of God and keep it. 1630 TWENTY-FIFTH WEEK IN ORDINARY TIME – YEAR II,450
Ordinary Time,5,Wednesday,II,,"Psalm 119.29+72, 89+101, 104+163 (R.105a)","Your word, O Lord, is a lamp for my feet.",Mark 1.15,The kingdom of God is near: repent and believe the good news!,451
Ordinary Time,5,Thursday,II,,"Psalm 90.3-4, 5-6, 12-13, 14+17 (R.1)","In every age, O Lord, you have been our refuge.",John 14.6,"I am the way, the truth, and the life, says the Lord; no one comes to the Father, except through me.",452
Ordinary Time,5,Friday,II,,"Psalm 144.1a+2abc, 3-4, 9+15b (R.1a)++","Blessed be the Lord, my rock.",Mark 10.45,The Son of Man came to serve and to give his life as a ransom for all.,453
Ordinary Time,5,Saturday,II,,"Psalm 90.3-4, 5-6, 12-13, 14+17 (R.1)","In every age, O Lord, you have been our refuge.",2 Timothy 1.10b,Our Saviour Jesus Christ has done away with death and brought us life through the gospel.,454
Ordinary Time,5,Monday,II,,"Psalm 17.1, 2-3, 6-7 (R.6b)","Lord, bend your ear and hear my prayer.",Mark 10.45,The Son of Man came to serve and to give his life as a ransom for all.,455
