season,week,day,occasion_1967,season_mapped,week_mapped,day_mapped,cycle_applicability,notes,petitions,page_number
"Easter","7","Sunday","SUNDAY AFTER THE ASCENSION","Easter","7","Sunday","ALL","After Ascension"," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Reward all our benefactors, both living and dead, with the gift of eternal happiness.","41"
"Easter","Pentecost","Sunday","PENTECOST OR WHIT SUNDAY","Easter","Pentecost","Sunday","ALL","Pentecost"," Lord, graciously hear us. Bless our sovereign N., and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the u ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Give peace and harmony in our homes, and a deep love of our holy religion.","42"
"Ordinary Time","1","Sunday","TRINITY SUNDAY","Ordinary Time","1","Sunday","ALL","Trinity Sunday"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Guide those who govern our country that they may rule with wisdom and justice. |  Lord, graciously hear us. rant us the grace to pray according to thy will for our enemies and all who persecute us.","43"
"Ordinary Time","2","Sunday","CORPUS CHRISTI","Ordinary Time","2","Sunday","ALL","Corpus Christi"," Lord, graciously hear us. Grant us the grace to pray according to thy will for our enemies and all who persecute us. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity.","44"
"Ordinary Time","4","Sunday","THE SECOND SUNDAY AFTER PENTECOST","Ordinary Time","4","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Remove all strife and bitterness from those who are at variance, so that they may serve thee in true brotherly union. |  Lord, graciously hear us. Heal thy servants, Lord, who are sick and put their trust in thee. Send them help. Lord, and comfort. |  Lord, graciously hear us. Bless all who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world.","45"
"Ordinary Time","3","Sunday","THE MOST SACRED HEART OF JESUS","Ordinary Time","3","Sunday","ALL","Sacred Heart"," Lord, graciously hear us. Give all nations true peace and understanding. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake.","46"
"Ordinary Time","5","Sunday","THE THIRD SUNDAY AFTER PENTECOST","Ordinary Time","5","Sunday","ALL","Ordinary Time","P» Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, all who suffer persecution. Strengthen, and uphold them. |  Lord, graciously hear us. Give us strength to bear our crosses in union with Christ our Lord.","47"
"Ordinary Time","6","Sunday","THE FOURTH SUNDAY AFTER PENTECOST","Ordinary Time","6","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the .j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Give us strength to bear our crosses in union with Christ our Lord.","48"
"Ordinary Time","7","Sunday","THE FIFTH SUNDAY AFTER PENTECOST","Ordinary Time","7","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. May we be given grace to pray according to thy will for our enemies and all who persecute us. |  Lord, graciously hear us. Bless all who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world.","49"
"Ordinary Time","8","Sunday","THE SIXTH SUNDAY AFTER PENTECOST","Ordinary Time","8","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and do thy holy will.","50"
"Ordinary Time","9","Sunday","THE SEVENTH SUNDAY AFTER PENTECOST","Ordinary Time","9","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, Patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake.","51"
