row,season,week,day,weekday_cycle,sunday_cycle,lectionary_number,type,reference,first_verse_text,current_incipit,flag_reason
665,Lent,2,Thursday,I/II,,233,first_reading,Jer 17.5-10,"Thus says the LORD: ""Cursed is the man who trusts in man and makes flesh his arm, whose heart turns away from the LORD.",Thus says the Lord Cursed are those who trust in mere mortals,starts_with_conjunction:thus
666,Lent,2,Friday,I/II,,234,first_reading,"Gen 37.3-4, 12-13a, 17b-28","Now Israel loved Joseph more than any other of his children, because he was the son of his old age; and he made him a long robe with sleeves.",Israel loved Joseph more than any other of his children,starts_with_conjunction:now
668,Lent,3,Sunday,,A,,first_reading,Exod 17:3-7,"But the people thirsted there for water, and the people murmured against Moses, and said, ""Why did you bring us up out of Egypt, to kill us and our children and our cattle with thirst?""","IN those days, in their thirst for water",starts_with_conjunction:but
669,Lent,3,Sunday,,A,,first_reading,Exod 17:3-7,"But the people thirsted there for water, and the people murmured against Moses, and said, ""Why did you bring us up out of Egypt, to kill us and our children and our cattle with thirst?""","IN those days, in their thirst for water",starts_with_conjunction:but
669,Lent,3,Sunday,,A,,gospel,"John 4:5-15, 19b-26, 39a, 40-42","So he came to a city of Samaria, called Sychar, near the field that Jacob gave to his son Joseph.",JESUS came to a town of Samaria called Sychar,starts_with_conjunction:so
671,Lent,3,Sunday,,C,,first_reading,"Exod 3:1-8a, 13-15","Now Moses was keeping the flock of his father-in-law, Jethro, the priest of Midian; and he led his flock to the west side of the wilderness, and came to Horeb, the mountain of God.",MOSES was tending the flock of his father-in-law Jethro,starts_with_conjunction:now
672,Lent,3,Monday,I/II,,237,gospel,Luke 4.24-30,"And he said, ""Truly, I say to you, no prophet is acceptable in his own country.",Jesus came to Nazara and spoke to the people in the synagogue,starts_with_conjunction:and
673,Lent,3,Tuesday,I/II,,238,first_reading,"Daniel 3.25, 34-43",and it broke through and burned those of the Chaldeans whom it caught about the furnace.,"Azariah, condemned to death by fire",starts_with_conjunction:and; starts_lowercase
673,Lent,3,Tuesday,I/II,,238,gospel,Matt 18.21-35,"Then Peter came up and said to him, ""Lord, how often shall my brother sin against me, and I forgive him? As many as seven times?""",Peter came and said to Jesus,starts_with_conjunction:then
675,Lent,3,Thursday,I/II,,240,first_reading,Jer 7.23-28,"But this command I gave them, 'Obey my voice, and I will be your God,  and you shall be my people; and walk in all the way that I command you,  that it may be well with you.'",Thus says the Lord This command I gave to my people,starts_with_conjunction:but
675,Lent,3,Thursday,I/II,,240,gospel,Luke 11.14-23,"Now he was casting out a demon that was dumb; when the demon had gone out, the dumb man spoke, and the people marveled.",Jesus was casting out a demon that was mute,starts_with_conjunction:now
676,Lent,3,Friday,I/II,,241,gospel,Mark 12.28b-34,"And one of the scribes came up and heard them disputing with one another, and seeing that he answered them well, asked him, ""Which commandment is the first of all?""",One of the scribes came near and asked Jesus,starts_with_conjunction:and
678,Lent,3,Saturday,I/II,,235,gospel,"(shorter) John 4.5-15, 19-26, 39, 40-42","So he came to a city of Samaria, called Sychar, near the field that Jacob gave to his son Joseph.",Jesus came to a Samaritan city called Sychar,starts_with_conjunction:so
681,Lent,4,Sunday,,B,,gospel,John 3:14-21,"And as Moses lifted up the serpent in the wilderness, so must the Son of man be lifted up,","JESUS said to Nicodemus ""Just as Moses lifted up the serpent in the desert",starts_with_conjunction:and
682,Lent,4,Sunday,,C,,first_reading,"Jos 5:9a, 10-12",[BOOK_NOT_FOUND: Jos],THE LORD said to Joshua,extraction_failed
682,Lent,4,Sunday,,C,,gospel,"Luke 15:1-3, 11-32",Now the tax collectors and sinners were all drawing near to hear him.,TAX collectors and sinners were all drawing near to listen to Jesus,starts_with_conjunction:now
684,Lent,4,Tuesday,I/II,,245,first_reading,"Ezek 47.1-9, 12","Then he brought me back to the door of the temple; and behold, water was issuing from below the threshold of the temple toward the east (for the temple faced east); and the water was flowing down from below the south end of the threshold of the temple, south of the altar.",In the midst of the vision I received from the Lord,starts_with_conjunction:then
