Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Ordinary Time,1,Friday,I,,"Psalm 78.3+4bc, 6c-7, 8 (R.7b)",Do not forget the works of the Lord!,Luke 7.16,A great prophet has appeared among us; God has visited his people.,309
Ordinary Time,1,Friday,I,,"Psalm 89.15-16, 17-18 (R.1)",For ever I will sing the goodness of the Lord.,Luke 7.16,A great prophet has appeared among us; God has visited his people.,309
Ordinary Time,1,Friday,II,,"Psalm 97.1+2b, 5-6, 10, 11-12 (R.12a)",Let the just rejoice in the Lord.,Luke 21.36,"Be watchful, pray constantly, that you may be worthy to stand before the Son of Man.",429
Ordinary Time,1,Friday,II,,"Psalm 98.1, 2-3ab, 3cd-4 (R.2b)",The Lord has revealed to the nations his saving power.,1 John 2.5,"Whoever keeps the word of Christ, grows perfect in the love of God.",489
Ordinary Time,1,Friday,II,,"Psalm 33.1-2, 4-5, 10ab+11 (R.5b)",The earth is full of the goodness of the Lord.,Luke 21.36,"Be watchful, pray constantly, that you may be worthy to stand before the Son of Man.",429
Ordinary Time,1,Friday,II,,"Psalm 122.1-2, 3-4a, 4b-5 (R.1)",Let us go rejoicing to the house of the Lord.,1 John 2.5,"Whoever keeps the word of Chirst, grows perfect in the love of God.",489
Ordinary Time,1,Saturday,I,,"Psalm 19.7, 8, 9, 14 (R. Jn 6.63c)","Your words, Lord, are spirit and life.",Luke 4.18,The Lord sent me to bring good news to the poor and freedom to prisoners. SARURDAY 117,310
Ordinary Time,1,Saturday,I,,"Psalm 21.1-2, 3-4, 5-6 (R.1)","Lord, your strength gives joy to the king.",Luke 4.18,The Lord sent me to bring good news to the poor and freedom to prisoners.,310
Ordinary Time,1,Saturday,II,,"Psalm 98.1, 7-8, 9 (R. see 9)",The Lord comes to rule the earth with justice.,John 13.34,I give you a new commandment: love one another as I have loved you.,430
Ordinary Time,1,Saturday,II,,"Psalm 145.2-3, 4-5, 10-11 (R. see 2)","I will praise your name for ever, Lord.",2 Corinthians 8.9,"Jesus Christ was rich but he became poor, to make you rich out of his poverty. 1306 THIRTY-FIRST WEEK IN ORDINARY TIME – YEAR I",490
