weekday_cycle,source_file,season,reference_status,day,psalm_response,acclamation_ref,first_reading,reading_cycle,sunday_cycle,acclamation_text,week,first_reading_incipit,lectionary_number,gospel,parser_warnings,second_reading,source_page,psalm_reference,gospel_incipit,source_title,second_reading_incipit
,sunday_readings_columns.txt,Christmas,unverified,Sunday,"Lord, every nation on earth will adore you.",Matt 2:2,Isa 60:1-6,,ABC,We saw his star at its rising and have come to do him homage.-R.,,"RISE up in splendor, Jerusalem! Your light has come",,Matt 2:1-12,,"Eph 3:2-3a, 5-6",39,"Ps 72:1-2, 7-8, 10-11, 12-13",WHEN Jesus was born in Bethlehem of Judea,EPIPHANY OF THE LORD-ABC,BROTHERS and sisters
,sunday_readings_columns.txt,Christmas,unverified,Sunday,(John 1:4) The Word of God became man and lived among us.,cf. 1 Timothy 3:16,"Sir 24:1-2, 8-12",,ABC,"Glory to you, O Christ, proclaimed to the Gentiles; Glory to you, O Christ, believed in throughout the world!-R.",,WISDOM sings her own praises and is honored in God,,"John 1:1-18 or 1:1-5, 9-14",,"Eph 1:3-6, 15-18",40,"Ps 147:12-13, 14-15, 19-20",IN the beginning was the Word,SECOND SUNDAY AFTER CHRISTMAS-ABC,BLESSED be the God and Father of our Lord Jesus Christ
,sunday_readings_columns.txt,Christmas,unverified,Sunday,(11b) The Lord will bless his people with peace.,cf. Mark 9:7,"Isa 42:1-4, 6-7",,A,"The heavens were opened and the voice of the Father thundered: This is my beloved Son, listen to him.-R.",,THUS says the LORD,,Matt 3:13-17,,Acts 10:34-38,41,"Ps 29:1-2, 3-4, 3, 9-10",JESUS came from Galilee to John at the Jordan,THE BAPTISM OF THE LORD-ABC,PETER proceeded to speak to those gathered
,sunday_readings_columns.txt,Christmas,unverified,Sunday,(11b) The Lord will bless his people with peace.,cf. Mark 9:7,"Isa 42:1-4, 6-7",,B,"The heavens were opened and the voice of the Father thundered: This is my beloved Son, listen to him.-R.",,THUS says the LORD,,Mark 1:7-11,,Acts 10:34-38,41,"Ps 29:1-2, 3-4, 3, 9-10",THIS is what he proclaimed,THE BAPTISM OF THE LORD-ABC,PETER proceeded to speak to those gathered
,sunday_readings_columns.txt,Christmas,unverified,Sunday,(11b) The Lord will bless his people with peace.,cf. Mark 9:7,"Isa 42:1-4, 6-7",,C,"The heavens were opened and the voice of the Father thundered: This is my beloved Son, listen to him.-R.",,THUS says the LORD,,"Luke 3:15-16, 21-22",,Acts 10:34-38,41,"Ps 29:1-2, 3-4, 3, 9-10",THE people were filled with expectation,THE BAPTISM OF THE LORD-ABC,PETER proceeded to speak to those gathered
,sunday_readings_columns.txt,Christmas,unverified,Sunday,(3) You will draw water joyfully from the springs of salvation.,cf. John 1:29,Isa 55:1-11,,ABC,"John saw Jesus approaching him, and said: Behold the Lamb of God who takes away the sin of the world.-R.",,THUS says the LORD,,Mark 1:7-11,,1 John 5:1-9,42,"Isa 12:2-3, 4bcd, 5-6",THIS is what John the Baptist proclaimed,THE BAPTISM OF THE LORD (First Sunday in Ordinary Time),BELOVED
,sunday_readings_columns.txt,Christmas,unverified,Sunday,"(1) O bless the Lord, my soul.",cf. Luke 3:16,"Isa 40:1-5, 9-11",,ABC,John said: One mightier than I is coming; he will baptize you with the Holy Spirit and with fire.-R.,,"COMFORT, give comfort to my people",,"Luke 3:15-16, 21-22",,Ti 2:11-14; 3:4-7,43,"Ps 104:1b-2, 3-4, 24-25, 27-28, 29-30",THE people were filled with expectation,THE BAPTISM OF THE LORD (First Sunday in Ordinary Time),BELOVED
,sunday_readings_columns.txt,Lent,unverified,Ash Wednesday,"(see 3a) Be merciful, O Lord, for we have sinned.",,Joel 2:12-18,,ABC,,,"EVEN now, says the LORD",,"Matt 6:1-6, 16-18",,2 Cor 5:20-6:2,44,"Ps 51:3-4, 5-6ab, 12-13, 14 and 17",JESUS said to his disciples,ASH WEDNESDAY-ABC,BROTHERS and sisters
,sunday_readings_columns.txt,Lent,unverified,Sunday,"Be merciful, O Lord, for we have sinned.",,Gen 2:7-9; 3:1-7,,A,,1,THE LORD God formed man out of the clay of the ground,,Matt 4:1-11,,"Rom 5:12-19 or 5:12, 17-19",45,"Ps 51:3-4, 5-6, 12-13, 17",AT that time Jesus was led by the Spirit into the desert,FIRST SUNDAY OF LENT-A,Shorter form in brackets.
,sunday_readings_columns.txt,Lent,unverified,Sunday,"Your ways, O Lord, are love and truth to those who keep",,Gen 9:8-15,,B,,1,GOD said to Noah and to his sons with him,,Mark 1:12-15,,1 Pet 3:18-22,46,"Ps 25:4-5, 6-7, 8-9",THE Spirit drove Jesus out into the desert,FIRST SUNDAY OF LENT-B,BELOVED
,sunday_readings_columns.txt,Lent,unverified,Sunday,"Be with me, Lord, when I am in trouble.",,Deut 26:4-10,,C,,1,"MOSES spoke to the people, saying",,Luke 4:1-13,,Rom 10:8-13,47,"Ps 91:1-2, 10-11, 12-13, 14-15","FILLED with the Holy Spirit, Jesus returned from the Jordan",FIRST SUNDAY OF LENT-C,BROTHERS and sisters
,sunday_readings_columns.txt,Lent,unverified,Sunday,"(22) Lord, let your mercy be on us, as we place our trust in you.",,Gen 12:1-4a,,A,,2,THE LORD said to Abram,,Matt 17:1-9,,2 Tim 1:8b-10,48,"Ps 33:4-5, 18-19, 20, 22","JESUS took Peter, James, and John his brother",SECOND SUNDAY OF LENT-A,BELOVED
,sunday_readings_columns.txt,Lent,unverified,Sunday,"(116:9) I will walk before the Lord, in the land of the living.",,"Gen 22:1-2, 9a, 10-13, 15-18",,B,,2,GOD put Abraham to the test.,,Mark 9:2-10,,Rom 8:31b-34,49,"Ps 116:10, 15, 16-17, 18-19","JESUS took Peter, James, and John",SECOND SUNDAY OF LENT-B,BROTHERS and sisters
,sunday_readings_columns.txt,Lent,unverified,Sunday,(1a) The Lord is my light and my salvation.,,"Gen 15:5-12, 17-18",,C,,2,THE Lord God took Abram outside and said,,Luke 9:28b-36,,Phil 3:17-4:1 or 3:20-4:1,50,"Ps 27:1, 7-8, 8-9, 13-14","JESUS took Peter, John, and James",SECOND SUNDAY OF LENT-C,Shorter form in brackets.
