id,season,day,day_num,week,firstReading,alternativeFirstReading,firstReadingIncipit,alternativeFirstReadingIncipit,psalmReference,psalmResponse,secondReading,secondReadingIncipit,gospel,gospelIncipit,alternativeGospel,alternativeGospelIncipit,source_file
LENT_SAT_508_ACTS_1,Lent,SATURDAY,508,,Acts 1.15-17, 21-26,,The lot fell to Matthias, who was then added to the eleven apostles.,Ps 113.1-8,The Lord will give him a seat with the leaders of his people.,,John 20.19-23,On the evening of that first day of the week,,weekday_b_full.txt
LENT_SAT_508_ISAIAH_61,Lent,SATURDAY,508,,Isaiah 61.9-11,,The Lord has anointed me to give the Good News to the poor,,Ps 89.1-2, 3-4, 26+28,For ever I will sing the goodness of the Lord.,,John 20.19-23,On the evening of that first day of the week,,weekday_b_full.txt
LENT_SAT_508_ROMANS_8_1,Lent,SATURDAY,508,,Romans 8.8-11,,The Spirit intercedes with sighs too deep for words.,Ps 126.1-2, 2-3, 4-5, 6,The Lord has done great things for us; we are filled with joy.,,John 20.19-23,On the evening of that first day of the week,,weekday_b_full.txt
LENT_SAT_508_ROMANS_8_2,Lent,SATURDAY,508,,Romans 8.18-25,,The law of the Spirit of life in Christ Jesus has freed you from the law of sin and death.,Ps 126.1-2, 2-3, 4-5, 6,The Lord has done great things for us; we are filled with joy.,,John 20.19-23,On the evening of that first day of the week,,weekday_b_full.txt
LENT_SAT_508_REVELATION_7,Lent,SATURDAY,508,,Revelation 7.9-14,,Behold those who have come through the great ordeal.,Ps 24.1-2, 3-4, 5-6,Let the Lord enter; he is king of glory.,,John 20.19-23,On the evening of that first day of the week,,weekday_b_full.txt
LENT_SAT_508_REVELATION_21,Lent,SATURDAY,508,,Revelation 21.1-5a,,On the foundation stones are carved the names of the twelve apostles.,Ps 145.10-13, 17-18,Your friends make known, O Lord, the glorious splendor of your kingdom.,,John 20.19-23,On the evening of that first day of the week,,weekday_b_full.txt
LENT_SAT_508_JEREMIAH_1,Lent,SATURDAY,508,,Jeremiah 1.4-5, 17-19,,I was like a gentle lamb led to the slaughter.,Ps 71.1-6, 15, 17,Since my mother's womb, you have been my strength.,,John 20.19-23,On the evening of that first day of the week,,weekday_b_full.txt
EASTER_SAT_508_ACTS_28,Easter,SATURDAY,508,,Acts 28.16-20, 30-31,,Paul arrives in Rome.,Ps 145.10-13, 17-18,Your friends make known, O Lord, the glorious splendor of your kingdom.,,John 20.19-23,On the evening of that first day of the week,,weekday_b_full.txt
EASTER_SAT_508_ROMANS_10,Easter,SATURDAY,508,,Romans 10.9-18,,Faith comes from what is heard; what is heard comes through the word of Christ.,Ps 19.2-5,Their message goes out through all the earth.,,John 20.19-23,On the evening of that first day of the week,,weekday_b_full.txt
ORDINARY_MON_323_HEBREWS_11,Ordinary Time,MONDAY,323,,Hebrews 11.33-40,,Through faith our ancestors conquered kingdoms.,Ps 31.2-6, 12-13, 15-16, 20, 24-25,Into your hands, O Lord, I commend my spirit.,,Luke 12.8-12,Everyone who acknowledges me before others,,weekday_a_full.txt
ORDINARY_FRI_447_1CORINTHIANS_15,Ordinary Time,FRIDAY,447,,1 Corinthians 15.1-8,,If Christ has not been raised, your faith has been in vain.,Ps 19.2-5,Their message goes out through all the earth.,,Luke 6.17-23,Jesus came down with the twelve,,weekday_b_full.txt
