source_file,reference,current_incipit,extracted_incipit,script_source,cycle,date,reading_type,notes
standard_lectionary_complete.csv,"Col 3:1-5, 9-11",,,,/C,Ordinary Time 18 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 9:1-5,,,,/A,Ordinary Time 19 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Eph 4:30-5:2,,,,/B,Ordinary Time 19 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Heb 11:1-2, 8-19 or 11:1-2, 8-12",,,,/C,Ordinary Time 19 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Rom 11:13-15, 29-32",,,,/A,Ordinary Time 20 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Eph 5:15-20,,,,/B,Ordinary Time 20 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Heb 12:1-4,,,,/C,Ordinary Time 20 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 11:33-36,,,,/A,Ordinary Time 21 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Eph 5:21-32 or 5:2a, 25-32",,,,/B,Ordinary Time 21 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Heb 12:5-7, 11-13",,,,/C,Ordinary Time 21 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 12:1-2,,,,/A,Ordinary Time 22 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Jas 1:17-18, 21b-22, 27",,,,/B,Ordinary Time 22 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Heb 12:18-19, 22-24a",,,,/C,Ordinary Time 22 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 13:8-10,,,,/A,Ordinary Time 23 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Jas 2:1-5,,,,/B,Ordinary Time 23 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Phlm 9-10, 12-17",,,,/C,Ordinary Time 23 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 14:7-9,,,,/A,Ordinary Time 24 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Jas 2:14-18,,,,/B,Ordinary Time 24 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Tim 1:12-17,,,,/C,Ordinary Time 24 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Tim 1:12-17,,,,/C,Ordinary Time 24 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Phil 1:20c-24, 27a",,,,/A,Ordinary Time 25 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Jas 3:16-4:3,,,,/B,Ordinary Time 25 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Tim 2:1-8,,,,/C,Ordinary Time 25 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Phil 2:1-11 or 2:1-5,,,,/A,Ordinary Time 26 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Jas 5:1-6,,,,/B,Ordinary Time 26 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Tim 6:11-16,,,,/C,Ordinary Time 26 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Phil 4:6-9,,,,/A,Ordinary Time 27 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Heb 2:9-11,,,,/B,Ordinary Time 27 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"2 Tim 1:6-8, 13-14",,,,/C,Ordinary Time 27 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Phil 4:12-14, 19-20",,,,/A,Ordinary Time 28 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Heb 4:12-13,,,,/B,Ordinary Time 28 Sunday,Second Reading,No matching reference found in script sources
