Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Ordinary Time,21,Monday,I,,"Psalm 96.1+3, 4-5, 11-12, 13 (R.13b)",The Lord comes to judge the earth.,Luke 4.18,The Spirit of the Lord now upon me has sent me to bring good news to the poor.,431
Ordinary Time,21,Monday,II,,"Psalm 119.97-98, 99-100, 101-102 (R.97a)","Lord, I love your commands.",Luke 4.18,The Spirit of the Lord now upon me has sent me to bring good news to the poor.,431
Ordinary Time,21,Tuesday,I,,"Psalm 139.1-2, 3-4, 5-6 (R.1)","You have searched me and you know me, Lord.",Hebrews 4.12,The word of God is living and active; it probes the thoughts and motives of our hearts.,426
Ordinary Time,21,Tuesday,II,,"Psalm 96.10, 11-12a, 12b-13 (R.13b)",The Lord comes to judge the earth.,Hebrews 4.12,The word of God is living and active; it probes the thoughts and motives of our hearts.,426
Ordinary Time,21,Wednesday,I,,"Psalm 139.7-8, 9-10, 11-12 (R. see 1)","You have searched me and you know me, Lord.",1 John 2.5,"Whoever keeps the word of Christ, grows perfect in the love of God.",427
Ordinary Time,21,Wednesday,II,,"Psalm 128.1-2, 4-5 (R.1)",Happy are those who fear the Lord.,1 John 2.5,"Whoever keeps the word of Christ, grows perfect in the love of God.",427
Ordinary Time,21,Thursday,I,,"Psalm 90.3-4, 12-13, 14+17 (R.14)","Fill us with your love, O Lord, and we will sing for joy!","Matthew 24.42a, 44",Be watchful and ready: you know not when the Son of Man is coming.,428
Ordinary Time,21,Thursday,II,,"Psalm 145.2-3, 4-5, 6-7 (R. see 1)","I will praise your name for ever, Lord.","Matthew 24.42a, 44",Be watchful and ready: you know not when the Son of Man is coming.,428
Ordinary Time,21,Friday,I,,"Psalm 97.1+2b, 5-6, 10, 11-12 (R.12a)",Let the just rejoice in the Lord.,Luke 21.36,"Be watchful, pray constantly, that you",429
Ordinary Time,21,Friday,II,,"Psalm 33.1-2, 4-5, 10ab+11 (R.5b)",The earth is full of the goodness of the Lord.,Luke 21.36,"Be watchful, pray constantly, that you",429
Ordinary Time,21,Saturday,I,,"Psalm 98.1, 7-8, 9 (R. see 9)",The Lord comes to rule the earth with justice.,John 13.34,I give you a new commandment: love one another as I have loved you.,430
Ordinary Time,21,Saturday,II,,"Psalm 33.12-13, 18-19, 20-21 (R.12b)",Happy the people the Lord has chosen to be his own.,John 13.34,I give you a new commandment: love one another as I have loved you. GO S P E L,430
Ordinary Time,22,Sunday,,A,Psalm 63:2.3-4.5-6.8-9 (R. 2b),"For you my soul is thirsting, O God, my God.",cf. Ephesians 1:17-18,"May the Father of our Lord Jesus Christ enlighten the eyes of our mind, so that we can see what hope his call holds for us.",
Ordinary Time,22,Sunday,,B,Psalm 15:2-3.3-4.4-5 (R. 1a),The just will live in the presence of the Lord.,cf. James 1:18,"By his own choice the Father made us his children by the message of the truth, so that we should be a sort of first-fruits of all that he created.",
Ordinary Time,22,Sunday,,C,Psalm 68:4-5.6-7.10-11 (R. cf. 11b),"In your goodness, O God, you prepared a home for the poor.",Matthew 11:29ab,"Shoulder my yoke and learn from me, for I am gentle and humble in heart.",
Ordinary Time,22,Monday,II,,"Psalm 5.1+4, 5-6, 11 (R.8a)","Lead me in your justice, Lord.",John 10.27,"My sheep listen to my voice, says the Lord; I know them and they follow me.",437
Ordinary Time,22,Tuesday,I,,"Psalm 27.1, 4, 13-14 (R.13)",I believe that I shall see the good things of the Lord in the land of the living.,Luke 7.16,A great prophet has appeared among us; God has visited his people.,432
Ordinary Time,22,Tuesday,II,,"Psalm 145.8-9, 10-11, 12-13ab, 13cd-14 (R.17a)",The Lord is just in all his ways.,Luke 7.16,A great prophet has appeared among us; God has visited his people.,432
Ordinary Time,22,Wednesday,I,,"Psalm 52.8, 9 (R.8b)",I trust in the kindness of God for ever.,Luke 4.18,The Lord sent me to bring good news to the poor and freedom to prisoners.,433
Ordinary Time,22,Wednesday,II,,"Psalm 33.12-13, 14-15, 20-21 (R.12b)",Happy the people the Lord has chosen to be his own.,Luke 4.18,The Lord sent me to bring good news to the poor and freedom to prisoners.,433
Ordinary Time,22,Thursday,I,,"Psalm 98.2-3ab, 3cd-4, 5-6 (R.2a)",The Lord has made known his salvation.,Matthew 4.19,"Come follow me, says the Lord, and I will make you fishers of my people.",434
Ordinary Time,22,Thursday,II,,"Psalm 24.1-2, 3-4ab, 5-6 (R.1a)",To the Lord belongs the earth and all that fills it.,Matthew 4.19,"Come follow me, says the Lord, and I will make you fishers of my people.",434
Ordinary Time,22,Friday,I,,"Psalm 100.1-2, 3, 4, 5 (R.2c)",Come with joy into the presence of the Lord.,John 8.12,"I am the light of the world, says the Lord; whoever follows me will have the light of life.",435
Ordinary Time,22,Friday,II,,"Psalm 37.3-4, 5-6, 27-28, 39-40 (R.39)",The salvation of the just comes from the Lord.,John 8.12,"I am the light of the world, says the Lord; whoever follows me will have the light of life.",435
Ordinary Time,22,Saturday,I,,"Psalm 54.1-2, 4+6",The Lord God is my help.,John 14.6,"I am the way, the truth, and the life, says the Lord; no one comes to the Father, except through me.",436
Ordinary Time,22,Saturday,II,,"Psalm 145.17-18, 19-20, 21 (R.18a)",The Lord is near to all who call on him.,John 14.6,"I am the way, the truth, and the life, says the Lord; no one comes to the Father, except through me.",436
